Event	ID	Name			Wwise Object Path	Notes
	282408185	Play_sfx_environment_fire_tourch_02			\Default Work Unit\environment\Play_sfx_environment_fire_tourch_02	
	282408186	Play_sfx_environment_fire_tourch_01			\Default Work Unit\environment\Play_sfx_environment_fire_tourch_01	
	1293037340	Play_camp_fire			\Default Work Unit\environment\Play_camp_fire	
	2038828501	Play_Glass_Bottle_Brake			\Default Work Unit\environment\Play_Glass_Bottle_Brake	
	2115375931	Play_Grave_Damage			\Default Work Unit\environment\Play_Grave_Damage	
	2929614753	Play_environment_main_forest			\Default Work Unit\environment\Play_environment_main_forest	
	3390075432	Play_Padlock_Brake			\Default Work Unit\environment\Play_Padlock_Brake	
	3450565664	Play_Flys_buzzing			\Default Work Unit\environment\Play_Flys_buzzing	
	4089264814	Play_gate_open			\Default Work Unit\environment\Play_gate_open	
	4166756183	Play_environment_grave			\Default Work Unit\environment\Play_environment_grave	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	35998100	sfx_environment_stonecrumble_03	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_stonecrumble_03_237AACB6.wem		\Actor-Mixer Hierarchy\environment\Grave Damage\sfx_environment_stonecrumble_03		211644
	59818597	sfx_environment_owl_02	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_owl_02_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\main forest Blend Container\owl\sfx_environment_owl_02		192064
	84890005	sfx_environment_brake_padlock_03	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_brake_padlock_03_029A284A.wem		\Actor-Mixer Hierarchy\environment\Padlock\Padlock Brake\sfx_environment_brake_padlock_03		89432
	86351964	sfx_environment_brake_glassbottle_02	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_brake_glassbottle_02_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Glass Bottle\Glass Bottle Brake\sfx_environment_brake_glassbottle_02		78288
	97940187	sfx_environment_owl_03	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_owl_03_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\main forest Blend Container\owl\sfx_environment_owl_03		153664
	99127446	sfx_environment_stonecrumble_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_stonecrumble_01_E6AE66E3.wem		\Actor-Mixer Hierarchy\environment\Grave Damage\sfx_environment_stonecrumble_01		355788
	169922276	sfx_environment_camp_fire_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_camp_fire_01_D79FB2B7.wem		\Actor-Mixer Hierarchy\environment\campfire\sfx_environment_camp_fire_01		12734528
	261067370	sfx_environment_fire_tourch_02	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_fire_tourch_02_D79FB2B7.wem		\Actor-Mixer Hierarchy\environment\fire Torch\sfx_environment_fire_tourch_02		3269832
	295957430	sfx_environment_stonecrumble_05	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_stonecrumble_05_638A2E46.wem		\Actor-Mixer Hierarchy\environment\Grave Damage\sfx_environment_stonecrumble_05		357772
	309760380	sfx_environment_brake_padlock_02	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_brake_padlock_02_7B48F3BF.wem		\Actor-Mixer Hierarchy\environment\Padlock\Padlock Brake\sfx_environment_brake_padlock_02		89060
	345289398	sfx_environment_brake_glassbottle_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_brake_glassbottle_01_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Glass Bottle\Glass Bottle Brake\sfx_environment_brake_glassbottle_01		108702
	349766689	sfx_environment_brake_padlock_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_brake_padlock_01_BC28169D.wem		\Actor-Mixer Hierarchy\environment\Padlock\Padlock Brake\sfx_environment_brake_padlock_01		88868
	382204857	sfx_environment_birds_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_birds_01_D79FB2B7.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\main forest Blend Container\sfx_environment_birds_01		17280064
	409183702	sfx_environment_fire_tourch_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_fire_tourch_01_CEF40DE1.wem		\Actor-Mixer Hierarchy\environment\fire Torch\sfx_environment_fire_tourch_01		1228344
	559624516	sfx_environment_owl_05	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_owl_05_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\main forest Blend Container\owl\sfx_environment_owl_05		163264
	589988285	sfx_environment_brake_glassbottle_03	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_brake_glassbottle_03_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Glass Bottle\Glass Bottle Brake\sfx_environment_brake_glassbottle_03		72426
	753792408	500482-Single_Fly_Buzzing_-One_Fly_or_Insect_Flying_Buzz_Noise_-Loop_-Panned_Version_009530_	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\500482-Single_Fly_Buzzing_-One_Fly_or_Insect_Flying_Buzz_Noise_-Loop_-Panned_Version_009530__D79FB2B7.wem		\Actor-Mixer Hierarchy\environment\flys buzzing\Flys_buzzing\500482-Single_Fly_Buzzing_-One_Fly_or_Insect_Flying_Buzz_Noise_-Loop_-Panned_Version_009530_		1745568
	758807149	sfx_environment_stonecrumble_02	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_stonecrumble_02_D5079771.wem		\Actor-Mixer Hierarchy\environment\Grave Damage\sfx_environment_stonecrumble_02		324004
	763286601	sfx_environment_trees_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_trees_01_D79FB2B7.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\sfx_environment_trees_01		11520064
	798562294	sfx_environment_owl_04	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_owl_04_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\main forest Blend Container\owl\sfx_environment_owl_04		96064
	853204105	500482-Single_Fly_Buzzing_-One_Fly_or_Insect_Flying_Buzz_Noise_-Loop_-Panned_Version_009530__01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\500482-Single_Fly_Buzzing_-One_Fly_or_Insect_Flying_Buzz_Noise_-Loop_-Panned_Version_009530__68505EEF.wem		\Actor-Mixer Hierarchy\environment\flys buzzing\Flys_buzzing\500482-Single_Fly_Buzzing_-One_Fly_or_Insect_Flying_Buzz_Noise_-Loop_-Panned_Version_009530__01		1624492
	861427743	sfx_environment_owl_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_owl_01_10C4C929.wem		\Actor-Mixer Hierarchy\environment\Forrest sounds\main forest Blend Container\owl\sfx_environment_owl_01		142304
	967804768	sfx_environment_gate_01	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_gate_01_B977240E.wem		\Actor-Mixer Hierarchy\environment\Gate\sfx_environment_gate_01		332298
	1042370722	sfx_environment_stonecrumble_04	D:\unity Projects\Hunters-Of-The-High-Road_WwiseProject\.cache\Windows\SFX\sfx_environment_stonecrumble_04_CC94760C.wem		\Actor-Mixer Hierarchy\environment\Grave Damage\sfx_environment_stonecrumble_04		412768

